Municipi;Municipi forma indexada;Cap de municipi;Cap de municipi indexada;Codi municipi;Codi municipi INE;Comarca;Codi comarca;Abreviatura comarca;Província;Codi província;UTM X;UTM Y;Longitud;Latitud
Mas de Barberans;Mas de Barberans;Mas de Barberans;Mas de Barberans;430770;43077;Montsià;22;MON;Tarragona;43;278247;4512623;0.373914393;40.734688606
Masdenverge;Masdenverge;Masdenverge;Masdenverge;430786;43078;Montsià;22;MON;Tarragona;43;291457;4510141;0.531035324;40.71580481
Sant Jaume d'Enveja;Sant Jaume d'Enveja;Sant Jaume d'Enveja;Sant Jaume d'Enveja;439023;43902;Montsià;22;MON;Tarragona;43;307350;4508739;0.719470283;40.707050959
Santa Bàrbara;Santa Bàrbara;Santa Bàrbara;Santa Bàrbara;431384;43138;Montsià;22;MON;Tarragona;43;288191;4510091;0.492412991;40.714520499
Ulldecona;Ulldecona;Ulldecona;Ulldecona;431567;43156;Montsià;22;MON;Tarragona;43;284138;4497288;0.448875456;40.59823916
la Galera;Galera, la;la Galera;Galera, la;430635;43063;Montsià;22;MON;Tarragona;43;285632;4506511;0.463373507;40.681638991
la Ràpita;Ràpita, la;la Ràpita;Ràpita, la;431362;43136;Montsià;22;MON;Tarragona;43;296385;4499366;0.592817384;40.620052443
la Sénia;Sénia, la;la Sénia;Sénia, la;430445;43044;Montsià;22;MON;Tarragona;43;270482;4501568;0.286093403;40.633080905
Albesa;Albesa;Albesa;Albesa;250083;25008;Noguera;23;NOG;Lleida;25;305482;4624816;0.660407593;41.751364415
Algerri;Algerri;Algerri;Algerri;250156;25015;Noguera;23;NOG;Lleida;25;303861;4632052;0.638537956;41.816083362
Alòs de Balaguer;Alòs de Balaguer;Alòs de Balaguer;Alòs de Balaguer;250220;25022;Noguera;23;NOG;Lleida;25;330907;4642045;0.961095041;41.912257927
Artesa de Segre;Artesa de Segre;Artesa de Segre;Artesa de Segre;250349;25034;Noguera;23;NOG;Lleida;25;337851;4640043;1.045328591;41.895692096
Balaguer;Balaguer;Balaguer;Balaguer;250404;25040;Noguera;23;NOG;Lleida;25;317638;4628760;0.805297348;41.789737784
Bellcaire d'Urgell;Bellcaire d'Urgell;Bellcaire d'Urgell;Bellcaire d'Urgell;250479;25047;Noguera;23;NOG;Lleida;25;325942;4625179;0.906224822;41.759371454
Bellmunt d'Urgell;Bellmunt d'Urgell;Bellmunt d'Urgell;Bellmunt d'Urgell;250498;25049;Noguera;23;NOG;Lleida;25;329795;4626747;0.952096614;41.774326659
Cabanabona;Cabanabona;Cabanabona;Cabanabona;250609;25060;Noguera;23;NOG;Lleida;25;351945;4634841;1.216448648;41.851633809
Camarasa;Camarasa;Camarasa;Camarasa;250621;25062;Noguera;23;NOG;Lleida;25;323904;4638090;0.877882111;41.875131237
Castelló de Farfanya;Castelló de Farfanya;Castelló de Farfanya;Castelló de Farfanya;250693;25069;Noguera;23;NOG;Lleida;25;311267;4632329;0.727550228;41.820370347
Cubells;Cubells;Cubells;Cubells;250791;25079;Noguera;23;NOG;Lleida;25;330565;4635313;0.958899414;41.851590977
Foradada;Foradada;Foradada;Foradada;250946;25094;Noguera;23;NOG;Lleida;25;335075;4638005;1.012445694;41.87677525
la Baronia de Rialb;Baronia de Rialb, la;Gualter;Gualter;250426;25042;Noguera;23;NOG;Lleida;25;350454;4643842;1.196218307;41.932384931
Ivars de Noguera;Ivars de Noguera;Ivars de Noguera;Ivars de Noguera;251121;25112;Noguera;23;NOG;Lleida;25;299593;4635960;0.585879641;41.850178817
Menàrguens;Menàrguens;Menàrguens;Menàrguens;251348;25134;Noguera;23;NOG;Lleida;25;312332;4622215;0.743556424;41.72959752
Montgai;Montgai;Montgai;Montgai;251386;25138;Noguera;23;NOG;Lleida;25;330603;4629565;0.961007723;41.799860395
Oliola;Oliola;Oliola;Oliola;251500;25150;Noguera;23;NOG;Lleida;25;348454;4637583;1.173709403;41.875657865
Os de Balaguer;Os de Balaguer;Os de Balaguer;Os de Balaguer;251569;25156;Noguera;23;NOG;Lleida;25;310676;4638006;0.718616267;41.87132008
Penelles;Penelles;Penelles;Penelles;251641;25164;Noguera;23;NOG;Lleida;25;330872;4624864;0.965575901;41.757602389
Ponts;Ponts;Ponts;Ponts;251728;25172;Noguera;23;NOG;Lleida;25;349584;4642005;1.18619719;41.915679444
Preixens;Preixens;Preixens;Preixens;251771;25177;Noguera;23;NOG;Lleida;25;338036;4628747;1.050648317;41.794052281
Tiurana;Tiurana;Tiurana;Tiurana;252228;25222;Noguera;23;NOG;Lleida;25;355474;4648564;1.255582012;41.97582543
Torrelameu;Torrelameu;Torrelameu;Torrelameu;252311;25231;Noguera;23;NOG;Lleida;25;308809;4619541;0.702082985;41.704690513
Térmens;Térmens;Térmens;Térmens;252206;25220;Noguera;23;NOG;Lleida;25;313712;4620831;0.760563433;41.71746482
Vallfogona de Balaguer;Vallfogona de Balaguer;Vallfogona de Balaguer;Vallfogona de Balaguer;252402;25240;Noguera;23;NOG;Lleida;25;318234;4624604;0.813743489;41.752469349
Vilanova de Meià;Vilanova de Meià;Vilanova de Meià;Vilanova de Meià;252509;25250;Noguera;23;NOG;Lleida;25;336227;4651142;1.022675463;41.99526464
Vilanova de l'Aguda;Vilanova de l'Aguda;Vilanova de l'Aguda;Vilanova de l'Aguda;252496;25249;Noguera;23;NOG;Lleida;25;355083;4641475;1.252605077;41.911938859
la Sentiu de Sió;Sentiu de Sió, la;la Sentiu de Sió;Sentiu de Sió, la;250352;25035;Noguera;23;NOG;Lleida;25;323758;4630280;0.878457386;41.804804716
les Avellanes i Santa Linya;Avellanes i Santa Linya, les;les Avellanes;Avellanes, les;250371;25037;Noguera;23;NOG;Lleida;25;314548;4641968;0.764000415;41.907897134
Àger;Àger;Àger;Àger;250024;25002;Noguera;23;NOG;Lleida;25;314787;4652147;0.763678739;41.999565244
Aiguafreda;Aiguafreda;Aiguafreda;Aiguafreda;080142;08014;Osona;24;OSO;Barcelona;08;437707;4624288;2.250544628;41.767986176
Calldetenes;Calldetenes;Calldetenes;Calldetenes;080370;08037;Osona;24;OSO;Barcelona;08;440677;4641662;2.284540336;41.924689664
Orís;Orís;Can Branques;Can Branques;081509;08150;Osona;24;OSO;Barcelona;08;437055;4656507;2.239267902;42.05810337
Centelles;Centelles;Centelles;Centelles;080673;08067;Osona;24;OSO;Barcelona;08;435120;4627589;2.219070942;41.797509094
Espinelves;Espinelves;Espinelves;Espinelves;170638;17063;Osona;24;OSO;Girona;17;451640;4635394;2.417266174;41.868980533
Folgueroles;Folgueroles;Folgueroles;Folgueroles;080832;08083;Osona;24;OSO;Barcelona;08;443542;4643193;2.318939366;41.93868614
Gurb;Gurb;Gurb;Gurb;081000;08100;Osona;24;OSO;Barcelona;08;437364;4643396;2.2444015;41.940048879
Malla;Malla;Malla;Malla;081115;08111;Osona;24;OSO;Barcelona;08;436503;4637521;2.234648149;41.887065718
Manlleu;Manlleu;Manlleu;Manlleu;081120;08112;Osona;24;OSO;Barcelona;08;440700;4650139;2.283958583;42.001035413
Montesquiu;Montesquiu;Montesquiu;Montesquiu;081311;08131;Osona;24;OSO;Barcelona;08;434666;4662291;2.209748189;42.109991873
Muntanyola;Muntanyola;Muntanyola;Muntanyola;081290;08129;Osona;24;OSO;Barcelona;08;431780;4636590;2.177829111;41.87828835
Roda de Ter;Roda de Ter;Roda de Ter;Roda de Ter;081831;08183;Osona;24;OSO;Barcelona;08;442790;4647898;2.309407251;41.981008781
Rupit i Pruit;Rupit i Pruit;Rupit;Rupit;089019;08901;Osona;24;OSO;Barcelona;08;455691;4652531;2.464781417;42.023559558
Sant Agustí de Lluçanès;Sant Agustí de Lluçanès;Sant Agustí de Lluçanès;Sant Agustí de Lluçanès;081957;08195;Osona;24;OSO;Barcelona;08;427828;4659583;2.127388953;42.085003833
Sant Bartomeu del Grau;Sant Bartomeu del Grau;Sant Bartomeu del Grau;Sant Bartomeu del Grau;081995;08199;Osona;24;OSO;Barcelona;08;431643;4648001;2.174857958;41.981046028
Sant Boi de Lluçanès;Sant Boi de Lluçanès;Sant Boi de Lluçanès;Sant Boi de Lluçanès;082016;08201;Osona;24;OSO;Barcelona;08;429822;4656467;2.151866839;42.057126337
Sant Hipòlit de Voltregà;Sant Hipòlit de Voltregà;Sant Hipòlit de Voltregà;Sant Hipòlit de Voltregà;082153;08215;Osona;24;OSO;Barcelona;08;436777;4651761;2.23642223;42.015332565
Sant Julià de Vilatorta;Sant Julià de Vilatorta;Sant Julià de Vilatorta;Sant Julià de Vilatorta;082205;08220;Osona;24;OSO;Barcelona;08;444038;4641328;2.325098974;41.92192644
Sant Martí de Centelles;Sant Martí de Centelles;Sant Martí de Centelles;Sant Martí de Centelles;082248;08224;Osona;24;OSO;Barcelona;08;433884;4624060;2.204582558;41.765624382
Sant Pere de Torelló;Sant Pere de Torelló;Sant Pere de Torelló;Sant Pere de Torelló;082331;08233;Osona;24;OSO;Barcelona;08;441830;4658344;2.296791299;42.075014654
Sant Quirze de Besora;Sant Quirze de Besora;Sant Quirze de Besora;Sant Quirze de Besora;082378;08237;Osona;24;OSO;Barcelona;08;435738;4661189;2.222831485;42.10015944
Sant Sadurní d'Osormort;Sant Sadurní d'Osormort;Sant Sadurní d'Osormort;Sant Sadurní d'Osormort;082418;08241;Osona;24;OSO;Barcelona;08;448697;4639071;2.381485599;41.901917804
Sant Vicenç de Torelló;Sant Vicenç de Torelló;Sant Vicenç de Torelló;Sant Vicenç de Torelló;082652;08265;Osona;24;OSO;Barcelona;08;439913;4656852;2.273774384;42.061435234
Santa Cecília de Voltregà;Santa Cecília de Voltregà;Santa Cecília de Voltregà;Santa Cecília de Voltregà;082439;08243;Osona;24;OSO;Barcelona;08;435585;4649307;2.222286785;41.993142253
Santa Eugènia de Berga;Santa Eugènia de Berga;Santa Eugènia de Berga;Santa Eugènia de Berga;082460;08246;Osona;24;OSO;Barcelona;08;440540;4638943;2.283161543;41.900188347
Santa Eulàlia de Riuprimer;Santa Eulàlia de Riuprimer;Santa Eulàlia de Riuprimer;Santa Eulàlia de Riuprimer;082476;08247;Osona;24;OSO;Barcelona;08;432668;4640215;2.188120418;41.911011142
Santa Maria de Besora;Santa Maria de Besora;Santa Maria de Besora;Santa Maria de Besora;082536;08253;Osona;24;OSO;Barcelona;08;438664;4664123;2.257911373;42.126811514
Seva;Seva;Seva;Seva;082690;08269;Osona;24;OSO;Barcelona;08;440206;4632135;2.279824361;41.838853766
Sora;Sora;Sora;Sora;082726;08272;Osona;24;OSO;Barcelona;08;430603;4662611;2.160576058;42.112524303
Taradell;Taradell;Taradell;Taradell;082785;08278;Osona;24;OSO;Barcelona;08;440882;4636048;2.287570008;41.874139387
Tavertet;Tavertet;Tavertet;Tavertet;082802;08280;Osona;24;OSO;Barcelona;08;451902;4649465;2.419269161;41.995729742
Tavèrnoles;Tavèrnoles;Tavèrnoles;Tavèrnoles;082750;08275;Osona;24;OSO;Barcelona;08;444180;4644674;2.326492526;41.952071512
Tona;Tona;Tona;Tona;082830;08283;Osona;24;OSO;Barcelona;08;435962;4633444;2.228561133;41.850312124
Torelló;Torelló;Torelló;Torelló;082858;08285;Osona;24;OSO;Barcelona;08;438992;4655227;2.262805553;42.046725793
Vic;Vic;Vic;Vic;082981;08298;Osona;24;OSO;Barcelona;08;438179;4642328;2.254339978;41.930490478
Vidrà;Vidrà;Vidrà;Vidrà;172121;17212;Osona;24;OSO;Girona;17;442956;4663605;2.30988455;42.122471681
Viladrau;Viladrau;Viladrau;Viladrau;172207;17220;Osona;24;OSO;Girona;17;449359;4633026;2.389982465;41.847516348
Vilanova de Sau;Vilanova de Sau;Vilanova de Sau;Vilanova de Sau;083036;08303;Osona;24;OSO;Barcelona;08;449189;4644227;2.386964443;41.948381259
el Brull;Brull, el;el Brull;Brull, el;080266;08026;Osona;24;OSO;Barcelona;08;442297;4629678;2.305247767;41.816876748
Balenyà;Balenyà;els Hostalets de Balenyà;Hostalets de Balenyà, els;080174;08017;Osona;24;OSO;Barcelona;08;436528;4629373;2.235818873;41.813689827
l'Esquirol;Esquirol, l';l'Esquirol;Esquirol, l';082541;08254;Osona;24;OSO;Barcelona;08;447861;4653835;2.370095341;42.034828008
les Masies de Roda;Masies de Roda, les;les Masies de Roda;Masies de Roda, les;081167;08116;Osona;24;OSO;Barcelona;08;443476;4648868;2.317599769;41.989790054
les Masies de Voltregà;Masies de Voltregà, les;les Masies de Voltregà;Masies de Voltregà, les;081173;08117;Osona;24;OSO;Barcelona;08;437927;4651465;2.250337422;42.01275913
Abella de la Conca;Abella de la Conca;Abella de la Conca;Abella de la Conca;250019;25001;Pallars Jussà;25;PJU;Lleida;25;342420;4669462;1.09247165;42.16144193
Gavet de la Conca;Gavet de la Conca;Gavet de la Conca;Gavet de la Conca;250984;25098;Pallars Jussà;25;PJU;Lleida;25;328102;4665567;0.920409639;42.123366673
Castell de Mur;Castell de Mur;Guàrdia de Noguera;Guàrdia de Noguera;259046;25904;Pallars Jussà;25;PJU;Lleida;25;324448;4662159;0.877256985;42.091888475
Isona i Conca Dellà;Isona i Conca Dellà;Isona;Isona;251155;25115;Pallars Jussà;25;PJU;Lleida;25;338271;4664611;1.04361906;42.11692648
Llimiana;Llimiana;Llimiana;Llimiana;251288;25128;Pallars Jussà;25;PJU;Lleida;25;327620;4660201;0.916153921;42.07496634
Salàs de Pallars;Salàs de Pallars;Salàs de Pallars;Salàs de Pallars;251902;25190;Pallars Jussà;25;PJU;Lleida;25;329258;4675470;0.931479588;42.21276002
Sant Esteve de la Sarga;Sant Esteve de la Sarga;Sant Esteve de la Sarga;Sant Esteve de la Sarga;251961;25196;Pallars Jussà;25;PJU;Lleida;25;315020;4661038;0.763690094;42.079634631
Sarroca de Bellera;Sarroca de Bellera;Sarroca de Bellera;Sarroca de Bellera;252017;25201;Pallars Jussà;25;PJU;Lleida;25;325520;4691891;0.881272863;42.359720139
Senterada;Senterada;Senterada;Senterada;252022;25202;Pallars Jussà;25;PJU;Lleida;25;330053;4687915;0.937451098;42.324939473
Talarn;Talarn;Talarn;Talarn;252154;25215;Pallars Jussà;25;PJU;Lleida;25;326601;4672512;0.900185083;42.185548656
Tremp;Tremp;Tremp;Tremp;252347;25234;Pallars Jussà;25;PJU;Lleida;25;326144;4670508;0.895259127;42.167410257
Conca de Dalt;Conca de Dalt;el Pont de Claverol;Pont de Claverol, el;251615;25161;Pallars Jussà;25;PJU;Lleida;25;332648;4678944;0.971516787;42.244758667
la Pobla de Segur;Pobla de Segur, la;la Pobla de Segur;Pobla de Segur, la;251713;25171;Pallars Jussà;25;PJU;Lleida;25;332442;4679512;0.96885546;42.249828971
la Torre de Cabdella;Torre de Cabdella, la;la Torre de Capdella;Torre de Capdella, la;252271;25227;Pallars Jussà;25;PJU;Lleida;25;334023;4698594;0.982531466;42.421907466
Alins;Alins;Alins;Alins;250175;25017;Pallars Sobirà;26;PSO;Lleida;25;361859;4712083;1.317472691;42.548794993
Farrera;Farrera;Burg;Burg;250899;25089;Pallars Sobirà;26;PSO;Lleida;25;358152;4707149;1.273561963;42.503710964
Espot;Espot;Espot;Espot;250827;25082;Pallars Sobirà;26;PSO;Lleida;25;343165;4715482;1.088960845;42.575819767
Esterri d'Àneu;Esterri d'Àneu;Esterri d'Àneu;Esterri d'Àneu;250864;25086;Pallars Sobirà;26;PSO;Lleida;25;346029;4721286;1.122276439;42.628642034
Esterri de Cardós;Esterri de Cardós;Esterri de Cardós;Esterri de Cardós;250870;25087;Pallars Sobirà;26;PSO;Lleida;25;357381;4717047;1.2617201;42.592667945
Baix Pallars;Baix Pallars;Gerri de la Sal;Gerri de la Sal;250390;25039;Pallars Sobirà;26;PSO;Lleida;25;340499;4687498;1.064277037;42.323393377
Lladorre;Lladorre;Lladorre;Lladorre;251235;25123;Pallars Sobirà;26;PSO;Lleida;25;356444;4720225;1.249503442;42.621102535
Llavorsí;Llavorsí;Llavorsí;Llavorsí;251266;25126;Pallars Sobirà;26;PSO;Lleida;25;353006;4706364;1.211167277;42.495681756
Rialp;Rialp;Rialp;Rialp;251832;25183;Pallars Sobirà;26;PSO;Lleida;25;346602;4700775;1.134765713;42.444132362
Vall de Cardós;Vall de Cardós;Ribera de Cardós;Ribera de Cardós;259010;25901;Pallars Sobirà;26;PSO;Lleida;25;354296;4713872;1.22493649;42.563504693
Sort;Sort;Sort;Sort;252094;25209;Pallars Sobirà;26;PSO;Lleida;25;346115;4697120;1.129821869;42.411134564
Tírvia;Tírvia;Tírvia;Tírvia;252213;25221;Pallars Sobirà;26;PSO;Lleida;25;355664;4708465;1.242971327;42.51509054
Alt Àneu;Alt Àneu;València d'Àneu;València d'Àneu;250241;25024;Pallars Sobirà;26;PSO;Lleida;25;345030;4721811;1.109954836;42.633161891
Soriguera;Soriguera;Vilamur;Vilamur;252081;25208;Pallars Sobirà;26;PSO;Lleida;25;348639;4693570;1.161413322;42.379677008
la Guingueta d'Àneu;Guingueta d'Àneu, la;la Guingueta d'Àneu;Guingueta d'Àneu, la;259031;25903;Pallars Sobirà;26;PSO;Lleida;25;346689;4717528;1.131331231;42.594944651
Barbens;Barbens;Barbens;Barbens;250411;25041;Pla d'Urgell;27;PUR;Lleida;25;335059;4616036;1.018357494;41.679015226
Bell-lloc d'Urgell;Bell-lloc d'Urgell;Bell-lloc d'Urgell;Bell-lloc d'Urgell;250485;25048;Pla d'Urgell;27;PUR;Lleida;25;315030;4611039;0.779431843;41.629638917
Bellvís;Bellvís;Bellvís;Bellvís;250523;25052;Pla d'Urgell;27;PUR;Lleida;25;318318;4615642;0.817477768;41.671827802
Castellnou de Seana;Castellnou de Seana;Castellnou de Seana;Castellnou de Seana;250680;25068;Pla d'Urgell;27;PUR;Lleida;25;331029;4612719;0.970907309;41.648317778
Fondarella;Fondarella;Fondarella;Fondarella;250931;25093;Pla d'Urgell;27;PUR;Lleida;25;322961;4611399;0.874474119;41.634683198
Golmés;Golmés;Golmés;Golmés;250997;25099;Pla d'Urgell;27;PUR;Lleida;25;327790;4611043;0.932518362;41.632535988
Ivars d'Urgell;Ivars d'Urgell;Ivars d'Urgell;Ivars d'Urgell;251137;25113;Pla d'Urgell;27;PUR;Lleida;25;332349;4616532;0.985676464;41.682913494
Linyola;Linyola;Linyola;Linyola;251229;25122;Pla d'Urgell;27;PUR;Lleida;25;325682;4619780;0.904673448;41.710719482
Miralcamp;Miralcamp;Miralcamp;Miralcamp;251351;25135;Pla d'Urgell;27;PUR;Lleida;25;323254;4608125;0.878953557;41.60528225
Mollerussa;Mollerussa;Mollerussa;Mollerussa;251370;25137;Pla d'Urgell;27;PUR;Lleida;25;324549;4610821;0.893696867;41.629835214
Sidamon;Sidamon;Sidamon;Sidamon;252056;25205;Pla d'Urgell;27;PUR;Lleida;25;319408;4610888;0.832005153;41.629289796
Torregrossa;Torregrossa;Torregrossa;Torregrossa;252304;25230;Pla d'Urgell;27;PUR;Lleida;25;319262;4605535;0.831862911;41.581072474
Vila-sana;Vila-sana;Vila-sana;Vila-sana;252521;25252;Pla d'Urgell;27;PUR;Lleida;25;327459;4614469;0.927562392;41.663298104
Vilanova de Bellpuig;Vilanova de Bellpuig;Vilanova de Bellpuig;Vilanova de Bellpuig;252483;25248;Pla d'Urgell;27;PUR;Lleida;25;330096;4609013;0.96076488;41.614759921
el Palau d'Anglesola;Palau d'Anglesola, el;el Palau d'Anglesola;Palau d'Anglesola, el;251581;25158;Pla d'Urgell;27;PUR;Lleida;25;323483;4613279;0.88017925;41.651722566
el Poal;Poal, el;el Poal;Poal, el;251689;25168;Pla d'Urgell;27;PUR;Lleida;25;321604;4616264;0.856747415;41.678169227
Banyoles;Banyoles;Banyoles;Banyoles;170157;17015;Pla de l'Estany;28;PES;Girona;17;480605;4662916;2.765370615;42.118105569
Camós;Camós;Camós;Camós;170353;17035;Pla de l'Estany;28;PES;Girona;17;480748;4660258;2.767199365;42.094171368
Cornellà del Terri;Cornellà del Terri;Cornellà del Terri;Cornellà del Terri;170561;17056;Pla de l'Estany;28;PES;Girona;17;484785;4659788;2.816020886;42.090025988
Crespià;Crespià;Crespià;Crespià;170583;17058;Pla de l'Estany;28;PES;Girona;17;483360;4670572;2.798479828;42.187122017
Esponellà;Esponellà;Esponellà;Esponellà;170656;17065;Pla de l'Estany;28;PES;Girona;17;483076;4669664;2.795073253;42.178934142
Fontcoberta;Fontcoberta;Fontcoberta;Fontcoberta;170715;17071;Pla de l'Estany;28;PES;Girona;17;482571;4665670;2.789082911;42.142954554
Porqueres;Porqueres;Mata;Mata;171371;17137;Pla de l'Estany;28;PES;Girona;17;482101;4661705;2.783509078;42.10723249
Palol de Revardit;Palol de Revardit;Palol de Revardit;Palol de Revardit;171236;17123;Pla de l'Estany;28;PES;Girona;17;483140;4657555;2.796199255;42.069883806
Sant Miquel de Campmajor;Sant Miquel de Campmajor;Sant Miquel de Campmajor;Sant Miquel de Campmajor;171740;17174;Pla de l'Estany;28;PES;Girona;17;473919;4663816;2.684459438;42.126012001
Serinyà;Serinyà;Serinyà;Serinyà;171903;17190;Pla de l'Estany;28;PES;Girona;17;478887;4668579;2.744392576;42.169063013
Vilademuls;Vilademuls;Vilademuls;Vilademuls;172180;17218;Pla de l'Estany;28;PES;Girona;17;490734;4665181;2.887874229;42.138689863
Bellmunt del Priorat;Bellmunt del Priorat;Bellmunt del Priorat;Bellmunt del Priorat;430234;43023;Priorat;29;PRI;Tarragona;43;312644;4559506;0.766749088;41.165252561
Cabacés;Cabacés;Cabacés;Cabacés;430350;43035;Priorat;29;PRI;Tarragona;43;310104;4568703;0.733648623;41.247444664
Capçanes;Capçanes;Capçanes;Capçanes;430402;43040;Priorat;29;PRI;Tarragona;43;313699;4552214;0.781537268;41.099860461
Cornudella de Montsant;Cornudella de Montsant;Cornudella de Montsant;Cornudella de Montsant;430496;43049;Priorat;29;PRI;Tarragona;43;324579;4570362;0.905807466;41.265646384
Falset;Falset;Falset;Falset;430555;43055;Priorat;29;PRI;Tarragona;43;317068;4557253;0.820118387;41.145980353
Gratallops;Gratallops;Gratallops;Gratallops;430691;43069;Priorat;29;PRI;Tarragona;43;313566;4562602;0.776797598;41.193332642
Margalef;Margalef;Margalef;Margalef;430751;43075;Priorat;29;PRI;Tarragona;43;311915;4572764;0.75399189;41.284419117
Marçà;Marçà;Marçà;Marçà;430764;43076;Priorat;29;PRI;Tarragona;43;315344;4555087;0.8002487;41.126095734
Poboleda;Poboleda;Poboleda;Poboleda;431129;43112;Priorat;29;PRI;Tarragona;43;319387;4566908;0.844885206;41.233409847
Porrera;Porrera;Porrera;Porrera;431140;43114;Priorat;29;PRI;Tarragona;43;320201;4561949;0.856046971;41.188958686
Pradell de la Teixeta;Pradell de la Teixeta;Pradell de la Teixeta;Pradell de la Teixeta;431153;43115;Priorat;29;PRI;Tarragona;43;321778;4558356;0.875892926;41.156962335
Torroja del Priorat;Torroja del Priorat;Torroja del Priorat;Torroja del Priorat;431541;43154;Priorat;29;PRI;Tarragona;43;316461;4564756;0.810642279;41.213378659
Ulldemolins;Ulldemolins;Ulldemolins;Ulldemolins;431573;43157;Priorat;29;PRI;Tarragona;43;322270;4576744;0.876395017;41.322591033
el Lloar;Lloar, el;el Lloar;Lloar, el;430727;43072;Priorat;29;PRI;Tarragona;43;311374;4561836;0.750910385;41.185932351
el Masroig;Masroig, el;el Masroig;Masroig, el;430825;43082;Priorat;29;PRI;Tarragona;43;309572;4555285;0.731472983;41.126543559
el Molar;Molar, el;el Molar;Molar, el;430859;43085;Priorat;29;PRI;Tarragona;43;307533;4559603;0.70585164;41.164930219
els Guiamets;Guiamets, els;els Guiamets;Guiamets, els;430705;43070;Priorat;29;PRI;Tarragona;43;311225;4552514;0.752004305;41.10198728
la Bisbal de Montsant;Bisbal de Montsant, la;la Bisbal de Montsant;Bisbal de Montsant, la;430271;43027;Priorat;29;PRI;Tarragona;43;309338;4572370;0.72336181;41.280270213
la Figuera;Figuera, la;la Figuera;Figuera, la;430580;43058;Priorat;29;PRI;Tarragona;43;309831;4565236;0.731469274;41.216173398
la Morera de Montsant;Morera de Montsant, la;la Morera de Montsant;Morera de Montsant, la;430960;43096;Priorat;29;PRI;Tarragona;43;319217;4570417;0.841819466;41.264957666
la Torre de Fontaubella;Torre de Fontaubella, la;la Torre de Fontaubella;Torre de Fontaubella, la;431515;43151;Priorat;29;PRI;Tarragona;43;320716;4554761;0.864296174;41.124365285
la Vilella Alta;Vilella Alta, la;la Vilella Alta;Vilella Alta, la;431732;43173;Priorat;29;PRI;Tarragona;43;313965;4566156;0.780464754;41.225412566
la Vilella Baixa;Vilella Baixa, la;la Vilella Baixa;Vilella Baixa, la;431747;43174;Priorat;29;PRI;Tarragona;43;312387;4565669;0.761806057;41.220665627
Ascó;Ascó;Ascó;Ascó;430192;43019;Ribera d'Ebre;30;REB;Tarragona;43;295970;4561662;0.567443286;41.180631047
Benissanet;Benissanet;Benissanet;Benissanet;430265;43026;Ribera d'Ebre;30;REB;Tarragona;43;301229;4547748;0.634595291;41.056706296
Flix;Flix;Flix;Flix;430607;43060;Ribera d'Ebre;30;REB;Tarragona;43;294681;4567395;0.550170156;41.231902294
Garcia;Garcia;Garcia;Garcia;430653;43065;Ribera d'Ebre;30;REB;Tarragona;43;302774;4556625;0.650125375;41.136985757
Ginestar;Ginestar;Ginestar;Ginestar;430672;43067;Ribera d'Ebre;30;REB;Tarragona;43;301164;4546098;0.634355505;41.041843181
Miravet;Miravet;Miravet;Miravet;430846;43084;Ribera d'Ebre;30;REB;Tarragona;43;298060;4545747;0.597571412;41.037919571
Móra d'Ebre;Móra d'Ebre;Móra d'Ebre;Móra d'Ebre;430939;43093;Ribera d'Ebre;30;REB;Tarragona;43;301885;4551708;0.641124373;41.092510558
Móra la Nova;Móra la Nova;Móra la Nova;Móra la Nova;430944;43094;Ribera d'Ebre;30;REB;Tarragona;43;302724;4552511;0.650853043;41.099943756
Rasquera;Rasquera;Rasquera;Rasquera;431212;43121;Ribera d'Ebre;30;REB;Tarragona;43;297941;4541701;0.597487437;41.001478434
Riba-roja d'Ebre;Riba-roja d'Ebre;Riba-roja d'Ebre;Riba-roja d'Ebre;431251;43125;Ribera d'Ebre;30;REB;Tarragona;43;289498;4569632;0.487612602;41.250705352
Tivissa;Tivissa;Tivissa;Tivissa;431508;43150;Ribera d'Ebre;30;REB;Tarragona;43;309375;4546043;0.731989555;41.043306762
Vinebre;Vinebre;Vinebre;Vinebre;431779;43177;Ribera d'Ebre;30;REB;Tarragona;43;297940;4561989;0.590805719;41.18406803
la Palma d'Ebre;Palma d'Ebre, la;la Palma d'Ebre;Palma d'Ebre, la;430995;43099;Ribera d'Ebre;30;REB;Tarragona;43;304556;4572786;0.666168357;41.282871564
la Torre de l'Espanyol;Torre de l'Espanyol, la;la Torre de l'Espanyol;Torre de l'Espanyol, la;431520;43152;Ribera d'Ebre;30;REB;Tarragona;43;300840;4562769;0.625098934;41.191809572
Campdevànol;Campdevànol;Campdevànol;Campdevànol;170366;17036;Ripollès;31;RIP;Girona;17;431273;4675035;2.167213333;42.224467627
Campelles;Campelles;Campelles;Campelles;170372;17037;Ripollès;31;RIP;Girona;17;429116;4682803;2.140128037;42.294229688
Camprodon;Camprodon;Camprodon;Camprodon;170391;17039;Ripollès;31;RIP;Girona;17;447675;4684585;2.365078268;42.311741783
Gombrèn;Gombrèn;Gombrèn;Gombrèn;170806;17080;Ripollès;31;RIP;Girona;17;425012;4677748;2.090996644;42.248326933
Llanars;Llanars;Llanars;Llanars;170911;17091;Ripollès;31;RIP;Girona;17;445944;4685564;2.343988943;42.320443121
Molló;Molló;Molló;Molló;171077;17107;Ripollès;31;RIP;Girona;17;450960;4688451;2.404610854;42.346774934
